Store Name,City,State,ZIP,Pharmacy,Gas Station,Curbside,Delivery,Services
Alpine,Grand Rapids,MI,49544,Yes,Yes,No,No,"Pharmacy, Gas Station"
28th and Kalamazoo,Grand Rapids,MI,49508,Yes,Yes,No,No,"Pharmacy, Gas Station"
Knapps Corner,Grand Rapids,MI,49525,Yes,Yes,No,No,"Pharmacy, Gas Station"
Walker Gas Station,Grand Rapids,MI,49544,Yes,Yes,No,No,"Pharmacy, Gas Station"
Plainfield Ave.,Grand Rapids,MI,49525,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Standale,Grand Rapids,MI,49534,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Grandville C-Store,Grandville,MI,49418,Yes,Yes,No,No,"Pharmacy, Gas Station"
Clyde Park,Wyoming,MI,49509,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Grandville,Grandville,MI,49418,Yes,No,Yes,No,"Pharmacy, Curbside Pickup"
Jenison,Jenison,MI,49428,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Cascade,Grand Rapids,MI,49512,Yes,Yes,No,No,"Pharmacy, Gas Station"
Gaines Twp,Caledonia,MI,49316,Yes,No,Yes,No,"Pharmacy, Curbside Pickup"
Caledonia,Caledonia,MI,49316,Yes,Yes,No,No,"Pharmacy, Gas Station"
Rockford,Rockford,MI,49341,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Hudsonville,Hudsonville,MI,49426,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Lowell,Lowell,MI,49331,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Cedar Springs,Cedar Springs,MI,49319,Yes,Yes,No,No,"Pharmacy, Gas Station"
N Holland Twp,Holland,MI,49424,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Holland,Holland,MI,49423,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Greenville,Greenville,MI,48838,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Grand Haven,Grand Haven,MI,49417,Yes,Yes,No,No,"Pharmacy, Gas Station"
Ionia,Ionia,MI,48846,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
S Harvey St,Muskegon,MI,49444,Yes,Yes,No,No,"Pharmacy, Gas Station"
Norton Shores,Muskegon,MI,49441,Yes,Yes,No,No,"Pharmacy, Gas Station"
Plainwell,Plainwell,MI,49080,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Holton Rd,North Muskegon,MI,49445,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Fremont,Fremont,MI,49412,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Gull Rd,Kalamazoo,MI,49048,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
W Main St,Kalamazoo,MI,49009,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
South Haven,South Haven,MI,49090,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Grand Ledge,Grand Ledge,MI,48837,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
S Westnedge Ave,Portage,MI,49002,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Big Rapids,Big Rapids,MI,49307,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
W. Columbia Ave. - Battle Creek,Battle Creek,MI,49015,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Charlotte,Charlotte,MI,48813,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Portage,Portage,MI,49024,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Beckley Rd,Battle Creek,MI,49014,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
W Saginaw Hwy,Lansing,MI,48917,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
DeWitt,DeWitt,MI,48820,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Alma,Alma,MI,48801,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
S Pennsylvania Ave,Lansing,MI,48911,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
East Lansing,East Lansing,MI,48823,Yes,No,Yes,No,"Pharmacy, Curbside Pickup"
Mt Pleasant,Mount Pleasant,MI,48858,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Bath Twp.,East Lansing,MI,48823,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Okemos,Okemos,MI,48864,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Mason,Mason,MI,48854,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Three Rivers,Three Rivers,MI,49093,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Benton Harbor,Benton Harbor,MI,49022,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Ludington,Ludington,MI,49431,Yes,Yes,Yes,No,"Pharmacy, Gas Station, Curbside Pickup"
Stevensville Meijer,Stevensville,MI,49127,Yes,Yes,No,No,"Pharmacy, Gas Station"
